# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	6719
#@/user_id	winK
a 	阿	c=14 d=1.69988 t=6719
bei 	背	c=1 d=0.254107 t=6719
bei 	被	c=12 d=1.03536 t=6719
bei dou 	北斗	c=1 d=1 t=6267
bei fen 	备份	c=1 d=0.367879 t=6719
bei guo 	背锅	c=1 d=0.0294518 t=6719
bei jing 	北京	c=1 d=0.08291 t=6719
bei ren 	被人	c=1 d=0.000380129 t=6719
bei shan 	被删	c=1 d=1 t=6341
bei wang lu 	备忘录	c=1 d=1 t=5901
bei zhua 	被抓	c=1 d=0.0739031 t=6719
ben 	本	c=1 d=1 t=4686
ben di 	本地	c=1 d=1 t=6219
ben ji 	本机	c=2 d=1.31822 t=5309
ben jia 	本家	c=1 d=0.718924 t=6719
ben lai 	本来	c=4 d=1.4789 t=6719
ben shen 	本身	c=1 d=1 t=5021
ben xing 	本性	c=1 d=0.037068 t=6719
ben zi 	本子	c=1 d=1 t=5061
beng 	崩	c=1 d=1 t=4956
beng huai 	崩坏	c=1 d=0.031273 t=6719
bi 	比	c=12 d=0.752014 t=6719
bi 	笔	c=1 d=1 t=6640
bi jiao 	比较	c=8 d=1.84442 t=6719
bi mian 	避免	c=1 d=1 t=4876
bi ni 	比你	c=1 d=0.0731678 t=6719
bi ren 	逼人	c=1 d=1 t=4526
bi ru 	比如	c=6 d=0.305195 t=6719
bi shi 	笔试	c=2 d=0.751081 t=6719
bi ye 	毕业	c=2 d=0.0675879 t=6719
bian 	扁	c=1 d=0.0620385 t=6719
bian 	边	c=1 d=0.0125254 t=6719
bian cheng 	变成	c=1 d=0.527292 t=6719
bian cheng 	编程	c=1 d=0.0393602 t=6719
bian ji 	编辑	c=3 d=1.90734 t=6719
bian ji qi 	编辑器	c=1 d=0.0266491 t=6719
bian jie 	边界	c=2 d=1.62932 t=6719
bian jing 	边境	c=2 d=0.0522897 t=6719
bian liang 	变量	c=2 d=1.93707 t=5754
bian tai 	变态	c=1 d=1 t=5418
bian yi 	编译	c=1 d=1 t=5534
biao chi 	标尺	c=1 d=0.985112 t=6719
biao ji 	标记	c=1 d=1 t=5668
biao qian 	标签	c=3 d=0.0308074 t=6719
biao qing 	表情	c=1 d=0.000808767 t=6719
biao shi 	表示	c=5 d=0.0919691 t=6719
biao xian 	表现	c=1 d=1 t=6079
biao zhun 	标准	c=1 d=0.323033 t=6719
bie 	别	c=10 d=0.967594 t=6719
bie de 	别的	c=1 d=0.0531307 t=6719
bie ji 	别急	c=2 d=0.596353 t=6719
bie ren 	别人	c=3 d=0.246614 t=6719
bie wu hui 	别误会	c=1 d=0.0450492 t=6719
bing 	并	c=5 d=0.0907791 t=6719
bing 	病	c=1 d=1 t=5577
bing li 	病例	c=1 d=1 t=6491
bing qie 	并且	c=1 d=1 t=4315
bo 	播	c=1 d=0.0193512 t=6719
bo fang 	播放	c=1 d=1 t=5195
bo jiu 	薄酒	c=1 d=0.56836 t=6719
bo luo 	菠萝	c=0 d=0.1 t=6607
bo luo bo luo 	菠萝菠萝	c=1 d=1 t=6608
bu 	不	c=24 d=1.82008 t=6719
bu an zhuang 	不安装	c=1 d=0.449329 t=6719
bu bei 	不被	c=1 d=0.010889 t=6719
bu ce 	不测	c=1 d=0.540641 t=6719
bu cuo 	不错	c=4 d=0.690734 t=6719
bu da suan 	不打算	c=1 d=1 t=6230
bu dao 	不到	c=1 d=0.00860854 t=6719
bu de bu kan 	不得不看	c=1 d=0.970446 t=6719
bu dong 	不懂	c=3 d=0.737123 t=6719
bu dou 	不都	c=1 d=1 t=4590
bu dou shi 	不都是	c=1 d=0.0413782 t=6719
bu dui 	不对	c=1 d=1 t=4629
bu dui jin 	不对劲	c=1 d=0.222017 t=6719
bu duo 	不多	c=1 d=0.0160027 t=6719
bu fen 	部分	c=3 d=0.00980366 t=6719
bu fen ren 	部分人	c=2 d=0.65285 t=6719
bu gao bai 	不告白	c=1 d=0.00869506 t=6719
bu gong ping 	不公平	c=1 d=0.0916297 t=6719
bu gou yong 	不够用	c=1 d=1 t=6293
bu gua 	不挂	c=0 d=0.0628135 t=6719
bu gua ti 	不挂提	c=1 d=0.631284 t=6719
bu guan 	不管	c=3 d=0.352477 t=6719
bu guo 	不过	c=5 d=0.159515 t=6719
bu hao 	不好	c=3 d=0.860708 t=6719
bu hao shuo 	不好说	c=0 d=0.1 t=5493
bu hui 	不会	c=10 d=0.602674 t=6719
bu ji de 	不记得	c=1 d=0.16696 t=6719
bu jin 	不仅	c=2 d=0.0911727 t=6719
bu jiu 	不久	c=1 d=0.00878245 t=6719
bu jiu shi 	不就是	c=1 d=1 t=5439
bu kai yuan 	不开源	c=1 d=1 t=5541
bu kan 	不看	c=2 d=0.951229 t=6719
bu ke neng 	不可能	c=2 d=0.236928 t=6719
bu kui 	不愧	c=2 d=0.154373 t=6719
bu kui shi ni 	不愧是你	c=1 d=0.00135358 t=6719
bu liao 	不了	c=1 d=0.323033 t=6719
bu mai zhang 	不买账	c=1 d=0.379083 t=6719
bu men 	部门	c=1 d=0.000871757 t=6719
bu ming bai 	不明白	c=1 d=0.116484 t=6719
bu nan 	不难	c=2 d=0.0197421 t=6719
bu neng 	不能	c=4 d=0.255193 t=6719
bu qu 	不去	c=1 d=0.00835412 t=6719
bu ran 	不然	c=4 d=0.965605 t=6719
bu rong yi 	不容易	c=1 d=1 t=4953
bu ru 	不如	c=3 d=0.412714 t=6719
bu ru shuo 	不如说	c=1 d=0.970446 t=6719
bu shao 	不少	c=4 d=0.152817 t=6719
bu shi 	不是	c=21 d=1.13836 t=6719
bu shu 	部署	c=7 d=0.214266 t=6719
bu shu xi 	不熟悉	c=2 d=1.84055 t=4835
bu shuo 	不说	c=5 d=0.897774 t=6719
bu si 	不死	c=1 d=1 t=5843
bu tai 	不太	c=4 d=0.718924 t=6719
bu tai dong 	不太懂	c=1 d=0.729789 t=6719
bu tai que ding 	不太确定	c=1 d=0.000636198 t=6719
bu ti xing 	不提醒	c=1 d=0.0934807 t=6719
bu tong 	不同	c=5 d=0.22453 t=6719
bu tui jian 	不推荐	c=1 d=1 t=5531
bu wan 	补完	c=1 d=0.00382958 t=6719
bu wan quan 	不完全	c=1 d=0.141564 t=6719
bu xia qu 	不下去	c=1 d=1 t=4549
bu xiang 	不想	c=3 d=1.1597 t=6719
bu xiang kan 	不想看	c=2 d=0.176407 t=6719
bu xiang yao 	不想要	c=1 d=0.657047 t=6719
bu xing 	不行	c=2 d=1.93707 t=4834
bu xu yao 	不需要	c=2 d=1.07654 t=5640
bu yao 	不要	c=4 d=0.789209 t=6719
bu ye 	不也	c=1 d=1 t=4764
bu yi ban 	不一般	c=1 d=0.782705 t=6719
bu yi ding 	不一定	c=2 d=0.201897 t=6719
bu yi yang 	不一样	c=1 d=1 t=4374
bu yin 	不因	c=1 d=1 t=4857
bu ying gai 	不应该	c=3 d=0.0550232 t=6719
bu yong 	不用	c=4 d=1.04613 t=6719
bu yong guan 	不用管	c=1 d=0.00588705 t=6719
bu yun xu 	不允许	c=2 d=1.97045 t=5897
bu zhi 	不止	c=3 d=0.291766 t=6719
bu zhi 	不知	c=1 d=0.0211736 t=6719
bu zhi chi 	不支持	c=1 d=0.433874 t=6719
bu zhi dao 	不知道	c=18 d=1.71137 t=6719
bu zou 	不走	c=1 d=1 t=5353
bu zuo 	不做	c=1 d=0.209088 t=6719
cai 	才	c=8 d=0.766139 t=6719
cai 	猜	c=3 d=0.369044 t=6719
cai 	菜	c=1 d=0.0426384 t=6719
cai cai 	猜猜	c=1 d=1 t=5525
cai chan 	财产	c=1 d=0.131336 t=6719
cai dan 	菜单	c=1 d=0.771052 t=6719
cai fang 	采访	c=1 d=1 t=5918
cai hong 	彩虹	c=2 d=0.000920334 t=6719
cai hong she 	彩虹社	c=1 d=0.000389752 t=6719
cai neng 	才能	c=1 d=0.12938 t=6719
cai neng gou 	才能够	c=1 d=0.694197 t=6719
cai you 	才有	c=3 d=0.196912 t=6719
cai yuan 	裁员	c=1 d=0.244143 t=6719
can kao 	参考	c=2 d=1.6157 t=5243
can shu 	参数	c=5 d=0.0191049 t=6719
cao 	肏	c=1 d=0.218712 t=6719
cao 	草	c=17 d=1.60706 t=6719
cao cao cao 	操操操	c=1 d=1 t=5769
cao zuo 	操作	c=4 d=0.257947 t=6719
ce 	测	c=3 d=1.13719 t=5058
ce chu lai 	测出来	c=1 d=1 t=4496
ce su 	测速	c=4 d=2.57131 t=5765
ce suo 	厕所	c=2 d=0.179196 t=6719
cha 	差	c=2 d=0.034303 t=6719
cha 	查	c=2 d=0.00960953 t=6719
cha 	茶	c=1 d=0.951229 t=6719
cha bu duo 	差不多	c=3 d=0.0633278 t=6719
cha cha 	查查	c=1 d=0.008396 t=6719
cha jian 	插件	c=7 d=0.467666 t=6719
cha kan 	查看	c=1 d=0.0261214 t=6719
cha xun 	查询	c=2 d=0.482157 t=6719
cha yue 	查阅	c=2 d=1.99501 t=5376
chai 	拆	c=1 d=1 t=5585
chan pin 	产品	c=1 d=0.369723 t=6719
chang 	长	c=3 d=0.0880368 t=6719
chang ge 	唱歌	c=1 d=0.00107547 t=6719
chang sha 	长沙	c=1 d=0.427415 t=6719
chang shi 	尝试	c=2 d=0.0844452 t=6719
chang yong 	常用	c=1 d=1 t=5231
chao 	潮	c=3 d=2.65394 t=6570
chao 	超	c=1 d=1 t=6465
chao duo 	超多	c=1 d=1 t=5040
chao guan 	朝管	c=1 d=1 t=6464
chao guo 	超过	c=2 d=1.00031 t=5892
chao ji 	超级	c=1 d=1 t=4364
chao zuo ye 	抄作业	c=1 d=0.0102549 t=6719
che 	扯	c=1 d=0.140858 t=6719
cheng 	成	c=8 d=0.55801 t=6719
cheng du 	成都	c=1 d=1 t=6632
cheng du 	程度	c=1 d=0.0441572 t=6719
cheng gong 	成功	c=1 d=0.00029902 t=6719
cheng ren 	承认	c=1 d=1 t=4906
cheng xu 	程序	c=2 d=0.188247 t=6719
chi 	吃	c=1 d=1 t=6407
chi 	赤	c=5 d=0.980199 t=6719
chi jian 	持剑	c=1 d=0.222017 t=6719
chi kui 	吃亏	c=1 d=1 t=5446
chi xu 	持续	c=1 d=1 t=6140
chong 	冲	c=7 d=1.85187 t=6719
chong jian 	重建	c=1 d=0.000239969 t=6719
chong tu 	冲突	c=1 d=1 t=6503
chong xin 	重新	c=7 d=1.96985 t=6719
chou 	丑	c=2 d=0.687289 t=6719
chou 	抽	c=1 d=0.135335 t=6719
chou 	臭	c=1 d=0.232236 t=6719
chou ka 	抽卡	c=1 d=1 t=6587
chou ma 	筹码	c=1 d=1 t=4352
chu 	出	c=6 d=0.72922 t=6719
chu 	初	c=1 d=1 t=5030
chu 	除	c=1 d=1 t=5196
chu bu liao 	出不了	c=1 d=1 t=4741
chu ci 	除此	c=1 d=0.215456 t=6719
chu fa 	触发	c=1 d=0.0113334 t=6719
chu ji 	出击	c=1 d=0.332871 t=6719
chu lai 	出来	c=4 d=0.557443 t=6719
chu le 	除了	c=1 d=1 t=5635
chu li 	处理	c=2 d=0.481909 t=6719
chu men 	出门	c=1 d=0.181772 t=6719
chu sheng 	出生	c=1 d=0.412714 t=6719
chu xian 	出现	c=2 d=0.00369121 t=6719
chu yin 	初音	c=2 d=0.143467 t=6719
chuan 	传	c=4 d=2.80637 t=5951
chuan 	川	c=4 d=0.475437 t=6719
chuan 	穿	c=2 d=0.00177165 t=6719
chuan di 	传递	c=1 d=1 t=5747
chuan jiao 	传教	c=1 d=0.00660453 t=6719
chuan shu 	传输	c=7 d=0.161773 t=6719
chuan yue 	穿越	c=2 d=0.182684 t=6719
chuang 	创	c=1 d=0.0190631 t=6719
chuang jian 	创建	c=1 d=0.00663763 t=6719
chui feng 	吹风	c=1 d=0.251579 t=6719
chun 	纯	c=2 d=0.0323869 t=6719
chun 	蠢	c=1 d=0.0081887 t=6719
chun cui 	纯粹	c=1 d=0.767206 t=6719
chun jing 	纯净	c=1 d=0.00470091 t=6719
chun pu 	淳朴	c=2 d=0.0781343 t=6719
ci hou 	伺候	c=1 d=0.114178 t=6719
ci shi 	此时	c=1 d=0.000174253 t=6719
cong 	从	c=13 d=1.30764 t=6719
cong lai 	从来	c=1 d=1 t=6701
cong na li 	从哪里	c=1 d=0.00683978 t=6719
cu 	簇	c=1 d=1 t=5673
cui ruo 	脆弱	c=1 d=1 t=5574
cun 	存	c=1 d=0.157237 t=6719
cun 	寸	c=2 d=0.631564 t=6719
cun chu 	存储	c=3 d=0.394554 t=6719
cun zai 	存在	c=2 d=1.00009 t=6712
cuo 	错	c=3 d=0.565525 t=6719
cuo wu 	错误	c=1 d=1 t=6114
da 	大	c=13 d=1.51031 t=6719
da 	打	c=4 d=1.12032 t=6719
da chang 	大厂	c=1 d=0.0216013 t=6719
da chi 	大匙	c=1 d=0.147342 t=6719
da duan 	大段	c=1 d=1 t=6085
da duo shu 	大多数	c=2 d=1.01109 t=6719
da gai 	大概	c=1 d=1 t=6214
da gong 	打工	c=1 d=0.174645 t=6719
da gong si 	大公司	c=1 d=1 t=4689
da gong zhu 	大公主	c=1 d=1 t=6457
da guo 	打过	c=2 d=0.0350844 t=6719
da jia 	大家	c=2 d=0.486752 t=6719
da jian 	搭建	c=1 d=0.470011 t=6719
da kai 	打开	c=1 d=0.190139 t=6719
da lao 	大佬	c=1 d=1 t=6525
da lu 	大陆	c=1 d=1 t=6020
da nao 	大脑	c=1 d=1 t=6606
da pei 	搭配	c=1 d=0.0281559 t=6719
da shi 	大师	c=1 d=0.053397 t=6719
da suan 	打算	c=5 d=0.988331 t=6719
da xiao jie 	大小姐	c=2 d=0.00843808 t=6719
da xue 	大学	c=2 d=1.68729 t=4993
da ya 	打压	c=1 d=0.00767337 t=6719
da yan zai 	大眼仔	c=1 d=0.0178634 t=6719
da yi jia 	打一架	c=1 d=1 t=5804
da yin 	打印	c=3 d=0.240261 t=6719
dai 	带	c=2 d=0.0229371 t=6719
dai bu hui lai 	带不回来	c=1 d=1 t=5077
dai gou 	代购	c=1 d=1 t=5068
dai kuan 	带宽	c=4 d=0.115591 t=6719
dai li 	代理	c=10 d=0.469217 t=6719
dai ma 	代码	c=1 d=0.0262523 t=6719
dai ru 	代入	c=1 d=0.110251 t=6719
dai ti 	代替	c=2 d=1.91851 t=4510
dan 	但	c=15 d=1.00307 t=6719
dan chun 	单纯	c=2 d=1.40861 t=4851
dan du 	单独	c=3 d=0.0726662 t=6719
dan mu 	弹幕	c=3 d=0.137381 t=6719
dan sheng 	诞生	c=4 d=0.872371 t=6719
dan shi 	但是	c=16 d=0.543389 t=6719
dang 	党	c=2 d=0.0402436 t=6719
dang 	当	c=5 d=0.39259 t=6719
dang nian 	当年	c=1 d=0.0188734 t=6719
dang qian 	当前	c=1 d=0.0753961 t=6719
dang ran 	当然	c=2 d=1.02612 t=5432
dang shi 	当时	c=4 d=0.168638 t=6719
dang yuan 	党员	c=1 d=1 t=4812
dang zhu 	挡住	c=1 d=0.000165755 t=6719
dao 	刀	c=1 d=1 t=5830
dao 	到	c=27 d=0.99005 t=6719
dao 	导	c=2 d=1.98511 t=6499
dao ban 	盗版	c=2 d=0.882497 t=6719
dao bei ru liu 	倒背如流	c=1 d=0.017163 t=6719
dao di 	到底	c=2 d=1.06266 t=5921
dao ju 	道具	c=2 d=0.0462196 t=6719
dao li 	道理	c=1 d=0.0250972 t=6719
dao mei cui 	倒霉催	c=1 d=1 t=4636
dao shi 	倒是	c=1 d=0.0401553 t=6719
dao si 	到死	c=1 d=0.00852289 t=6719
dao zhi 	导致	c=1 d=1 t=6110
de 	得	c=13 d=1.00798 t=6719
de guo 	德国	c=1 d=1 t=5619
de kan 	得看	c=1 d=0.114178 t=6719
deng 	等	c=10 d=1.1383 t=6719
deng chang 	登场	c=1 d=0.496585 t=6719
deng lu 	登录	c=2 d=1.02387 t=6719
deng yu 	等于	c=1 d=1 t=5967
deng zhe 	等着	c=1 d=0.0387742 t=6719
di 	低	c=1 d=0.0590129 t=6719
di 	第	c=1 d=0.000258659 t=6719
di di 	弟弟	c=1 d=0.000178665 t=6719
di er ge 	第二个	c=3 d=0.0991944 t=6719
di er ji 	第二季	c=2 d=0.333987 t=6719
di er ji 	第二集	c=1 d=1 t=6077
di fang 	地方	c=1 d=0.053397 t=6719
di mian 	地面	c=1 d=0.261846 t=6719
di pei ban 	低配版	c=1 d=0.101774 t=6719
di qiu 	地球	c=3 d=2.98012 t=4621
di san ji 	第三季	c=2 d=0.262701 t=6719
di shi ni 	迪士尼	c=1 d=1 t=6609
di si ji 	第四集	c=1 d=0.171187 t=6719
di su 	低速	c=1 d=1 t=5998
di tou bu jian 	低头不见	c=1 d=0.985112 t=6719
di wei 	地位	c=1 d=1 t=4870
di yi 	第一	c=2 d=0.985112 t=6719
di yi ci 	第一次	c=3 d=0.286849 t=6719
di yi ge 	第一个	c=1 d=0.264477 t=6719
di yi hang 	第一行	c=1 d=0.187308 t=6719
di yi hua 	第一话	c=2 d=0.81501 t=6719
di yi jia 	第一家	c=1 d=0.0216013 t=6719
di yi tian 	第一天	c=2 d=0.0316086 t=6719
di zhi 	地址	c=5 d=0.269825 t=6719
dian 	点	c=10 d=0.802709 t=6719
dian 	电	c=4 d=1.96654 t=6719
dian nao 	电脑	c=8 d=0.728241 t=6719
dian shi 	电视	c=2 d=0.869358 t=6719
dian shi shang 	电视上	c=1 d=0.00122477 t=6719
dian wang 	电网	c=2 d=1.2568 t=6719
dian wang ke ji 	电网科技	c=1 d=0.557106 t=6719
dian ying 	电影	c=2 d=0.257808 t=6719
dian ying yuan 	电影院	c=7 d=0.705489 t=6719
dian yuan 	电源	c=1 d=0.071719 t=6719
diao 	叼	c=1 d=0.529935 t=6719
diao 	掉	c=4 d=1.45146 t=5991
diao chan 	貂蝉	c=1 d=1 t=5872
diao xia lai 	掉下来	c=1 d=0.0953692 t=6719
diao yong 	调用	c=1 d=0.559898 t=6719
diao zuan 	刁钻	c=1 d=1 t=6626
die 	爹	c=2 d=0.00178203 t=6719
die 	碟	c=1 d=0.88692 t=6719
ding 	顶	c=8 d=0.276651 t=6719
ding ji 	顶级	c=1 d=0.0315873 t=6719
ding po tian 	顶破天	c=1 d=0.214381 t=6719
ding shi 	定时	c=1 d=0.364219 t=6719
ding wei 	定位	c=1 d=1 t=5461
ding yue 	订阅	c=1 d=1 t=4313
ding zhi 	定制	c=1 d=1 t=5533
diu 	丢	c=6 d=1.79329 t=6719
diu shi 	丢失	c=4 d=3.40418 t=6178
dong 	动	c=3 d=0.871795 t=6719
dong 	懂	c=3 d=0.829506 t=6719
dong hua 	动画	c=15 d=0.958548 t=6719
dong hua lun 	动滑轮	c=1 d=0.000665481 t=6719
dong hua zhong 	动画中	c=1 d=1 t=6088
dong man 	动漫	c=2 d=0.843665 t=6719
dong xi 	东西	c=12 d=1.03277 t=6719
dong zuo 	动作	c=7 d=0.490228 t=6719
dou 	都	c=56 d=2.72262 t=6719
dou ban 	豆瓣	c=1 d=0.000265207 t=6719
dou hui 	都会	c=2 d=0.0675424 t=6719
dou neng 	都能	c=1 d=0.390628 t=6719
dou shi 	都是	c=13 d=1.4842 t=6719
dou xin 	都信	c=1 d=0.909373 t=6719
dou yao 	都要	c=1 d=0.0769192 t=6719
dou yin 	抖音	c=1 d=0.179964 t=6719
dou you 	都有	c=2 d=0.0742736 t=6719
du 	读	c=4 d=0.409101 t=6719
du chang 	赌场	c=1 d=1 t=4346
du du 	嘟嘟	c=3 d=0.02485 t=6719
du du 	都督	c=1 d=1 t=4645
du li 	独立	c=1 d=1 t=5355
du qi 	肚脐	c=1 d=0.292293 t=6719
du qu 	读取	c=2 d=0.941765 t=6719
duan 	端	c=1 d=1 t=4696
duan kou 	端口	c=1 d=1 t=5744
duan shi pin 	短视频	c=1 d=0.187308 t=6719
dui 	对	c=12 d=0.914013 t=6719
dui ba 	对吧	c=3 d=0.302704 t=6719
dui bi 	对比	c=2 d=1.98511 t=5150
dui ci 	对此	c=1 d=0.0426384 t=6719
dui dai 	对待	c=1 d=0.0356146 t=6719
dui yin 	对因	c=1 d=0.00970611 t=6719
dui ying 	对应	c=1 d=0.00975476 t=6719
dui yu 	对于	c=2 d=0.0451207 t=6719
duo 	多	c=8 d=1.78407 t=6719
duo 	躲	c=1 d=0.0987662 t=6719
duo ge 	多个	c=1 d=0.106459 t=6719
duo hao kan 	多好看	c=1 d=1 t=5880
duo jiu 	多久	c=1 d=1 t=6209
duo kan 	多看	c=1 d=1 t=5561
duo ren 	多人	c=2 d=0.131442 t=6719
duo shao 	多少	c=1 d=1 t=5128
duo shao qian 	多少钱	c=1 d=1 t=4294
duo yang xing 	多样性	c=1 d=1 t=5618
duo zui 	多嘴	c=1 d=0.0972957 t=6719
e 	呃	c=2 d=0.138235 t=6719
e 	饿	c=1 d=0.0352602 t=6719
e 	鹅	c=1 d=1 t=5800
e e 	谔谔	c=1 d=1 t=5214
e luo si 	俄罗斯	c=1 d=1 t=4289
e wen 	俄文	c=1 d=0.00346515 t=6719
ei 	欸	c=2 d=0.00794669 t=6719
er 	二	c=3 d=0.123642 t=6719
er 	儿	c=2 d=0.110251 t=6719
er 	尔	c=1 d=0.0303487 t=6719
er 	而	c=7 d=0.634789 t=6719
er bu shi 	而不是	c=2 d=0.603506 t=6719
er ci yuan 	二次元	c=12 d=4.11986 t=6719
er qie 	而且	c=4 d=0.941793 t=6719
er qu 	而去	c=1 d=0.00900478 t=6719
er shi ji 	二十几	c=1 d=0.798516 t=6719
er shou 	二手	c=1 d=1 t=6419
er tong kuan 	儿童款	c=1 d=1 t=6526
er yan 	而言	c=1 d=0.044601 t=6719
er yi 	而已	c=3 d=0.293764 t=6719
fa 	发	c=5 d=0.353455 t=6719
fa chu lai 	发出来	c=1 d=0.491644 t=6719
fa dian 	发电	c=3 d=2.1621 t=6719
fa ming 	发明	c=2 d=1.99005 t=5500
fa sheng 	发生	c=1 d=1 t=4367
fa xian 	发现	c=5 d=0.162838 t=6719
fa yan 	发言	c=2 d=1.94649 t=5140
fa zhan 	发展	c=1 d=0.0237541 t=6719
fan 	泛	c=1 d=1 t=5674
fan 	犯	c=1 d=1 t=5578
fan 	番	c=9 d=2.45566 t=6719
fan 	翻	c=2 d=0.839457 t=6719
fan 	饭	c=1 d=0.000699601 t=6719
fan dui 	反对	c=1 d=0.548812 t=6719
fan guo lai 	反过来	c=1 d=1 t=6081
fan ju 	番剧	c=1 d=0.99005 t=6719
fan kui 	反馈	c=1 d=1 t=4504
fan ren 	犯人	c=1 d=0.00152616 t=6719
fan shou 	反手	c=1 d=0.371577 t=6719
fan wei 	范围	c=2 d=1.88692 t=5760
fan yi 	翻译	c=9 d=4.50096 t=6719
fan ying 	反应	c=1 d=0.279431 t=6719
fan zheng 	反正	c=2 d=1.00831 t=5625
fang 	房	c=1 d=0.324652 t=6719
fang 	放	c=4 d=0.397523 t=6719
fang 	芳	c=1 d=0.0287246 t=6719
fang an 	方案	c=2 d=0.756294 t=6719
fang bian 	方便	c=1 d=1 t=5099
fang dai 	房贷	c=1 d=0.329559 t=6719
fang fa 	方法	c=1 d=0.0181334 t=6719
fang he xie 	防和谐	c=1 d=0.0850088 t=6719
fang shi 	方式	c=4 d=0.103026 t=6719
fang wen 	访问	c=5 d=2.00449 t=6719
fang xin 	放心	c=1 d=1 t=4582
fang zhe 	放着	c=1 d=0.327915 t=6719
fang zhi 	防止	c=1 d=0.0112769 t=6719
fang zi 	房子	c=1 d=0.396531 t=6719
fei 	非	c=3 d=1.94688 t=6030
fei 	飞	c=1 d=0.00433948 t=6719
fei chang 	非常	c=6 d=0.718924 t=6719
fei dao 	飞刀	c=1 d=1 t=6240
fei die she 	飞碟社	c=1 d=0.12307 t=6719
fei ji 	飞机	c=1 d=0.138761 t=6719
fei jin 	费劲	c=2 d=0.00289433 t=6719
fei xin 	费心	c=1 d=1 t=4650
fen 	分	c=1 d=0.130029 t=6719
fen lei 	分类	c=2 d=0.000315358 t=6719
fen xi 	分析	c=2 d=1.99501 t=4639
fen zhi 	分支	c=1 d=0.000160856 t=6719
fen zhong 	分钟	c=10 d=0.122456 t=6719
feng 	疯	c=5 d=0.458553 t=6719
feng ge 	风格	c=2 d=0.311923 t=6719
feng kong 	风控	c=1 d=0.0114473 t=6719
feng shang 	奉上	c=1 d=1 t=4716
feng zhuang 	封装	c=2 d=1.90032 t=5795
fu 	富	c=2 d=0.304221 t=6719
fu 	服	c=5 d=0.0284062 t=6719
